MovieCode,Period,Crores,actor,STATUS
BDCQ.SED2RPS,2013.09,,Y,R
BDCQ.SED2RPS,2013.12,,Y,R
BDCQ.SED2RPS,2014.03,,Y,R
BDCQ.SED2RPS,2014.06,,Y,R
BDCQ.SED2RPS,2014.09,,Y,R
BDCQ.SED2RPS,2014.12,,Y,R
BDCQ.SED2RPS,2015.03,,Y,R
BDCQ.SED2RPS,2015.06,,Y,R
BDCQ.SED2RPS,2015.09,,Y,R
BDCQ.SED2RPS,2015.12,,Y,R
BDCQ.SED2RPS,2016.03,,Y,R
BDCQ.SED2RPS,2016.06,,Y,R
BDCQ.SED2RPS,2016.09,,Y,R
BDCQ.SED2RPS,2016.12,,Y,R
BDCQ.SED2RPS,2017.03,,Y,R
BDCQ.SED2RPS,2017.06,,Y,R
BDCQ.SED2RPS,2017.09,,Y,R
BDCQ.SED2RPS,2017.12,,Y,R
BDCQ.SED2RPS,2018.03,,Y,R
BDCQ.SED2RPS,2018.06,,Y,R
BDCQ.SED2RPS,2018.09,,Y,R
BDCQ.SED2RPS,2018.12,,Y,R
BDCQ.SED2RPS,2019.03,,Y,R
BDCQ.SED2RPS,2019.06,,Y,R
BDCQ.SED2RPS,2019.09,,Y,R
BDCQ.SED2RPS,2019.12,,Y,R
BDCQ.SED2RPS,2020.03,,Y,R
BDCQ.SED2RPS,2020.06,,Y,F
BDCQ.SED2RPS,2020.09,,Y,F
BDCQ.SED2RPS,2020.12,,Y,F
BDCQ.SED2RPT,2011.06,,Y,C
BDCQ.SED2RPT,2011.09,,Y,C
BDCQ.SED2RPT,2011.12,,Y,C
BDCQ.SED2RPT,2012.03,,Y,C
BDCQ.SED2RPT,2012.06,,Y,C
BDCQ.SED2RPT,2012.09,,Y,C
BDCQ.SED2RPT,2012.12,,Y,C
BDCQ.SED2RPT,2013.03,,Y,C
BDCQ.SED2RPT,2013.06,,Y,C
BDCQ.SED2RPT,2013.09,,Y,C
BDCQ.SED2RPT,2013.12,,Y,C
BDCQ.SED2RPT,2014.03,,Y,C
BDCQ.SED2RPT,2014.06,,Y,C
BDCQ.SED2RPT,2014.09,,Y,C
BDCQ.SED2RPT,2014.12,,Y,C
BDCQ.SED2RPT,2015.03,,Y,C
BDCQ.SED2RPT,2015.06,,Y,C
BDCQ.SED2RPT,2015.09,,Y,C
BDCQ.SED2RPT,2015.12,,Y,C
BDCQ.SED2RPT,2016.03,,Y,C
BDCQ.SED2RPT,2016.06,,Y,C
BDCQ.SED2RPT,2016.09,,Y,C
BDCQ.SED2RPT,2016.12,,Y,C
BDCQ.SED2RPT,2017.03,,Y,C
BDCQ.SED2RPT,2017.06,,Y,C
BDCQ.SED2RPT,2017.09,,Y,C
BDCQ.SED2RPT,2017.12,,Y,C
BDCQ.SED2RPT,2018.03,,Y,C
BDCQ.SED2RPT,2018.06,,Y,C
BDCQ.SED2RPT,2018.09,,Y,C
BDCQ.SED2RPT,2018.12,,Y,C
BDCQ.SED2RPT,2019.03,,Y,C
BDCQ.SED2RPT,2019.06,,Y,C
BDCQ.SED2RPT,2019.09,,Y,C
BDCQ.SED2RPT,2019.12,,Y,C
BDCQ.SED2RPT,2020.03,,Y,C
BDCQ.SED2RPT,2020.06,,Y,C
BDCQ.SED2RPT,2020.09,,Y,C
BDCQ.SED2RPT,2020.12,,Y,C
BDCQ.SED3RAA,2011.06,47290,,F
BDCQ.SED3RAA,2011.09,46777,,F
BDCQ.SED3RAA,2011.12,47953,,F
BDCQ.SED3RAA,2012.03,46832,,F
BDCQ.SED3RAA,2012.06,47714,,F
BDCQ.SED3RAA,2012.09,46903,,F
BDCQ.SED3RAA,2012.12,48744,,F
BDCQ.SED3RAA,2013.03,48265,,F
BDCQ.SED3RAA,2013.06,48722,,F
BDCQ.SED3RAA,2013.09,47392,,F
BDCQ.SED3RAA,2013.12,49124,,F
BDCQ.SED3RAA,2014.03,48301,,F
BDCQ.SED3RAA,2014.06,49273,,F
BDCQ.SED3RAA,2014.09,48776,,F
BDCQ.SED3RAA,2014.12,50629,,F
BDCQ.SED3RAA,2015.03,49545,,F
BDCQ.SED3RAA,2015.06,50429,,F
BDCQ.SED3RAA,2015.09,49910,,F
BDCQ.SED3RAA,2015.12,52501,,F
BDCQ.SED3RAA,2016.03,51287,,F
BDCQ.SED3RAA,2016.06,52123,,F
BDCQ.SED3RAA,2016.09,52120,,F
BDCQ.SED3RAA,2016.12,53476,,F
BDCQ.SED3RAA,2017.03,53427,,F
BDCQ.SED3RAA,2017.06,55348,,F
BDCQ.SED3RAA,2017.09,54632,,F
BDCQ.SED3RAA,2017.12,55665,,F
BDCQ.SED3RAA,2018.03,55094,,F
BDCQ.SED3RAA,2018.06,55590,,F
BDCQ.SED3RAA,2018.09,54485,,F
BDCQ.SED3RAA,2018.12,56179,,F
BDCQ.SED3RAA,2019.03,57502,,F
BDCQ.SED3RAA,2019.06,56895,,F
BDCQ.SED3RAA,2019.09,56311,,F
BDCQ.SED3RAA,2019.12,59417,,F
BDCQ.SED3RAA,2020.03,58993,,F
BDCQ.SED3RAA,2020.06,57577,,F
BDCQ.SED3RAA,2020.09,57750,,F
BDCQ.SED3RAA,2020.12,59269,,F
BDCQ.SED3RAA,2021.03,59157,,F
BDCQ.SED3RAA,2021.06,59476,,F
BDCQ.SED3RAA,2021.09,59205,,F
BDCQ.SED3RAA,2021.12,60904,,F
BDCQ.SED3RAA,2022.03,60140,,F
BDCQ.SED3RBA,2011.06,575951,,F
BDCQ.SED3RBA,2011.09,584390,,F
BDCQ.SED3RBA,2011.12,593204,,F
BDCQ.SED3RBA,2012.03,579549,,F
BDCQ.SED3RBA,2012.06,594842,,F
BDCQ.SED3RBA,2012.09,594458,,F
BDCQ.SED3RBA,2012.12,600804,,F
BDCQ.SED3RBA,2013.03,595175,,F
BDCQ.SED3RBA,2013.06,609156,,F
BDCQ.SED3RBA,2013.09,605883,,F
BDCQ.SED3RBA,2013.12,618097,,F
BDCQ.SED3RBA,2014.03,609239,,F
BDCQ.SED3RBA,2014.06,623405,,F
BDCQ.SED3RBA,2014.09,624507,,F
BDCQ.SED3RBA,2014.12,637590,,F
BDCQ.SED3RBA,2015.03,631407,,F
BDCQ.SED3RBA,2015.06,652278,,F
BDCQ.SED3RBA,2015.09,650865,,F
BDCQ.SED3RBA,2015.12,665805,,F
BDCQ.SED3RBA,2016.03,658202,,F
BDCQ.SED3RBA,2016.06,678389,,F
BDCQ.SED3RBA,2016.09,678721,,F
BDCQ.SED3RBA,2016.12,695138,,F
BDCQ.SED3RBA,2017.03,688065,,F
BDCQ.SED3RBA,2017.06,705339,,F
BDCQ.SED3RBA,2017.09,703932,,F
BDCQ.SED3RBA,2017.12,720076,,F
BDCQ.SED3RBA,2018.03,717947,,F
BDCQ.SED3RBA,2018.06,727039,,F
BDCQ.SED3RBA,2018.09,723250,,F
BDCQ.SED3RBA,2018.12,738478,,F
BDCQ.SED3RBA,2019.03,734702,,F
BDCQ.SED3RBA,2019.06,743746,,F
BDCQ.SED3RBA,2019.09,739167,,F
BDCQ.SED3RBA,2019.12,750988,,F
BDCQ.SED3RBA,2020.03,743328,,F
BDCQ.SED3RBA,2020.06,744116,,F
BDCQ.SED3RBA,2020.09,735099,,F
BDCQ.SED3RBA,2020.12,734707,,F
